序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1.你在买护眼产品前会查阅科学文献(如 PubMed、指南)吗?,2.你主要通过什么方式了解护眼产品功效?,3. 你认为护眼产品能改善视力或延缓近视吗?,4.你是否担心广告宣传有夸大嫌疑?,5.你是否愿意花时间查阅真正的医学证据?,为什么不愿意花时间查阅真正的医学证据?,"6.你是否需要一个“自动识别广告语真实性""的工具?",7.您的年龄是,8.您的性别是
1,2025/12/11 08:00:46,55秒,微信,N/A,103.143.93.102(澳门-未知),偶尔,小红书/抖音等平台种草┋亲友推荐┋专业人士建议,能,有一点,是,(跳过),是,19岁至45岁,女
2,2025/12/11 11:36:40,28秒,微信,N/A,61.242.134.161(湖北-武汉),从不,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议┋学术资料或医学指南,不能,经常,否,没兴趣,否,19岁至45岁,女
3,2025/12/11 11:36:58,20秒,微信,N/A,39.144.240.46(安徽-合肥),从不,电视广告宣传,能,从未考虑过,否,没时间,是,19岁至45岁,男
4,2025/12/11 11:40:03,15秒,微信,N/A,39.148.243.18(河南-郑州),从不,电视广告宣传┋小红书/抖音等平台种草,能,从未考虑过,是,(跳过),是,18岁及以下,女
5,2025/12/11 11:56:51,9秒,微信,N/A,120.231.184.7(广东-珠海),经常,小红书/抖音等平台种草,不能,有一点,是,(跳过),是,18岁及以下,男
6,2025/12/11 11:57:01,24秒,微信,N/A,183.47.14.163(广东-珠海),偶尔,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议,能,有一点,是,(跳过),是,19岁至45岁,女
7,2025/12/11 11:57:22,28秒,微信,N/A,202.175.67.179(澳门-未知),很少,网购评论,能,有一点,否,没兴趣,是,19岁至45岁,男
8,2025/12/11 11:57:38,19秒,微信,N/A,202.175.67.180(澳门-未知),从不,小红书/抖音等平台种草┋网购评论,不能,有一点,否,没时间┋看不懂,是,19岁至45岁,女
9,2025/12/11 11:57:46,31秒,微信,N/A,202.175.67.201(澳门-未知),偶尔,亲友推荐┋专业人士建议,能,经常,是,(跳过),是,19岁至45岁,女
10,2025/12/11 11:58:25,34秒,微信,N/A,149.102.98.24(澳门-未知),从不,电视广告宣传┋小红书/抖音等平台种草┋网购评论,能,经常,否,没时间,是,19岁至45岁,男
11,2025/12/11 11:59:20,27秒,微信,N/A,202.175.105.118(澳门-澳门半岛),很少,专业人士建议,能,经常,是,(跳过),是,19岁至45岁,男
12,2025/12/11 11:59:55,30秒,微信,N/A,14.150.197.27(广东-佛山),很少,小红书/抖音等平台种草┋网购评论┋专业人士建议,不能,经常,是,(跳过),否,19岁至45岁,男
13,2025/12/11 12:01:44,18秒,微信,N/A,39.144.239.193(安徽-合肥),从不,专业人士建议┋学术资料或医学指南,不确定,从未考虑过,否,没兴趣┋没时间┋看不懂,否,19岁至45岁,男
14,2025/12/11 12:02:50,24秒,微信,N/A,91.148.236.102(国外-美国),偶尔,小红书/抖音等平台种草┋网购评论,不能,有一点,否,没兴趣┋没时间,是,19岁至45岁,女
15,2025/12/11 12:03:47,48秒,微信,N/A,27.109.159.74(澳门-未知),从不,其他,能,从未考虑过,否,没兴趣┋没时间┋看不懂,否,19岁至45岁,女
16,2025/12/11 12:05:29,36秒,微信,N/A,182.93.57.134(澳门-未知),从不,电视广告宣传┋小红书/抖音等平台种草,不确定,有一点,否,看不懂,是,19岁至45岁,女
17,2025/12/11 12:09:44,26秒,微信,N/A,202.175.67.180(澳门-未知),从不,小红书/抖音等平台种草┋亲友推荐,能,有一点,是,(跳过),是,19岁至45岁,女
18,2025/12/11 12:10:00,39秒,微信,N/A,149.102.98.144(澳门-未知),经常,小红书/抖音等平台种草,能,经常,否,没时间┋看不懂,是,19岁至45岁,男
19,2025/12/11 12:13:12,37秒,微信,N/A,202.175.67.183(澳门-未知),很少,小红书/抖音等平台种草┋亲友推荐┋专业人士建议┋学术资料或医学指南,不确定,有一点,是,(跳过),是,19岁至45岁,女
20,2025/12/11 12:19:01,13秒,微信,N/A,113.52.109.29(澳门-未知),经常,小红书/抖音等平台种草,能,经常,是,(跳过),否,19岁至45岁,男
21,2025/12/11 12:26:46,23秒,微信,N/A,223.104.86.221(广东-广州),很少,电视广告宣传┋小红书/抖音等平台种草,能,有一点,是,(跳过),是,19岁至45岁,女
22,2025/12/11 12:55:03,30秒,微信,N/A,223.104.73.143(广东-湛江),从不,小红书/抖音等平台种草┋网购评论┋亲友推荐,不确定,经常,否,没时间,是,19岁至45岁,女
23,2025/12/11 13:05:40,30秒,微信,N/A,103.143.92.144(澳门-未知),很少,小红书/抖音等平台种草┋亲友推荐,不确定,有一点,是,(跳过),是,19岁至45岁,男
24,2025/12/11 13:54:08,64秒,微信,N/A,219.74.169.209(国外-新加坡),偶尔,小红书/抖音等平台种草┋亲友推荐,不确定,有一点,否,没时间,是,19岁至45岁,男
25,2025/12/11 22:42:12,35秒,微信,N/A,202.175.67.218(澳门-未知),很少,小红书/抖音等平台种草,不能,有一点,否,没兴趣┋没时间┋看不懂,是,19岁至45岁,女
26,2025/12/11 22:56:21,61秒,微信,N/A,183.42.241.62(广东-广州),很少,小红书/抖音等平台种草┋网购评论┋亲友推荐,能,有一点,否,没时间,是,19岁至45岁,女
