序号,chain,key word,level
1,跟朋友吐槽后让我去吃点叶黄素，一整个打开了新世界，吃了几瓶优思益蓝莓护眼丸，谁能想到真补到位!整个人可以说是很!亮!眼!!优门永存!!!,亮眼、补到位、效果明显,2
2,上上个月在小红书一个高度近视博主那里被种草的这个amerrition叶黄素，都没细研究，成分都是撒啊这么顶?效果猛的吓到我了买来吃了半瓶...这效果真的惊到我了,效果猛、成分顶、效果惊到,2
3,就一个眼睛舒服，我能再吃1000年!这款最让我满意的地方就是对付眼干和疲劳。...吃到后面几周，明显感觉眼睛没那么容易干涩了，下午酸胀感也轻了很多...,缓解干眼、缓解疲劳,1
4,这款是粉末状的游离叶黄素，也是一天一粒...作为日常保养应该够了。但对我这种用眼强度非常大的人来说，在缓解长时间用眼后的干涩和疲劳感上，效果就没有amerrition那么突出。感觉适合用眼没那么狠，或者预算更有限的朋友做基础补充。,缓解干涩、基础补充,1
5,"#amerrition本来是备选，但看一圈发现高纯度的只有这款，吃完才后知后觉发现真有点不一样。最明显的感觉是眼睛""有劲儿""了...吃完明显缓解...改善挺明显...几乎感受不到了。",眼睛有劲儿、明显缓解,2
6,第二款是amerrition叶黄素...这个就是我想推荐给干眼姐妹的了...我干眼比较严重的那段时间用的就是这个...,干眼推荐、缓解干眼,1
7,一款是低度近视以及眼疲劳可以用的澳佳宝叶黄素，没有复配，主打一个嘎嘎干净...简单来说干眼不适合但入门近视完全ok，预算有限冲,低度近视可用、入门,1
8,双心蓝莓叶黄素，感觉眼睛没那么亮了，酸涩，红血丝，做了功课买的，目前吃了13天:眼睛珠子变亮了，长期坚持看看效果。,眼睛变亮、改善红血丝,2
9,眼里有光具象化了。。。这到底是离谱玩意儿...第二瓶了，没想到这么夸张!!!...现在一整个续航拉满，干劲十足!...真把我们这种高强度用眼牛马给吃爽了。,续航拉满、高强度用眼,2
10,澳佳宝叶黄素(是我喜欢的胶囊类型，但功效好像不是很全面，只集中在防蓝光),防蓝光、功能不全面,1
11,优思益叶黄素(有6合1跟7合1两个版本不知道咋选，据说新加的藻油 DHA润眼效果更好),润眼效果更好,2
12,我在吃了一半之后我的眼睛就很清楚了 看东西 但我不知道是不是这个起作用的 供参考下 我接下来还会买别的牌子试试 综合看哪个效果性价比最高最好,眼睛清楚了、供参考,1
